config,dataset,model,gamma,seed,epoch,task_acc,concept_acc,urr_task,urr_nontask,leak_acc_task,leak_acc_nontask,ece,brier,map_concepts,auc_tti,nauc_tti,auc_tti_random,nauc_tti_random,interv_error_0,interv_error_full
mpi3d-arhcbm,mpi3d,ARCBM,,43,50,24.516203703703702,99.99900817871094,30.49706588389337,9.074874785551346,17.45833270251751,3.995370492339134,0.012063758447766304,0.8172436356544495,0.9999041131564549,24.516203703703695,0.0,24.516203703703695,0.0,75.4837962962963,75.4837962962963
mpi3d-arhcbm,mpi3d,ARCBM,,44,50,24.29861111111111,99.99900817871094,28.269871617006693,9.562867957353404,14.89814892411232,4.152777977287769,0.008470128290355206,0.8188013434410095,0.999904100384031,24.300925925925924,1.653439153435394e-06,24.300925925925924,1.653439153435394e-06,75.70138888888889,75.69907407407408
mpi3d-cbm,mpi3d,CBM,,42,50,99.95370370370371,99.99784851074219,30.393243285394632,6.676906332655563,18.636573292315006,3.0601849779486656,0.0008478360250592232,0.0009325529681518674,0.999904100384031,50.73528439153439,-0.05897652116402117,50.73528439153439,-0.05897652116402117,0.04629629629629051,82.61342592592592
mpi3d-cbm,mpi3d,CBM,,43,50,99.95601851851852,99.99900817871094,29.946759295745785,9.486247232701373,18.979167193174362,3.925926052033901,0.0013148706639185548,0.0009099908056668937,0.9999041131564549,51.80720899470899,-0.0587582671957672,51.80720899470899,-0.0587582671957672,0.043981481481480955,82.30555555555556
mpi3d-cbm,mpi3d,CBM,,44,50,99.97453703703704,99.99933624267578,25.978598205390448,7.544231283953828,15.918981283903122,3.185185045003891,0.0009436182444915175,0.00048697428428567946,0.999904100384031,46.294146825396815,-0.059991732804232804,46.294146825396815,-0.059991732804232804,0.02546296296296191,84.01388888888889
mpi3d-cem,mpi3d,CEM,,42,50,99.95138888888889,99.99867248535156,45.92626659061176,18.42096358691936,30.30555620789528,7.298610918223858,0.0009256718913093209,0.0007184387650340796,0.999904100384031,,,,,,
mpi3d-cem,mpi3d,CEM,,43,50,99.93287037037037,99.99967193603516,46.63975780756567,18.657935045974583,30.74305411428213,7.337962836027145,0.0012071195524185896,0.0011536141391843557,0.9999041131564549,,,,,,
mpi3d-cem,mpi3d,CEM,,44,50,99.9375,99.99933624267578,44.146364607371105,15.655606454487803,28.40972263365984,6.699074059724808,0.001565747894346714,0.001102419919334352,0.9999040961265564,,,,,,
mpi3d-mcbm-1,mpi3d,MCBM (low g),1.0,42,50,69.80092592592592,99.99867248535156,9.192963780417962,-0.0012914656704943184,6.486110761761665,0.10416675359010696,0.262911319732666,0.5045403838157654,0.9999007795538221,45.92493386243386,-0.03410383597883598,45.92493386243386,-0.03410383597883598,30.199074074074076,77.94444444444444
mpi3d-mcbm-1,mpi3d,MCBM (low g),1.0,43,50,61.4837962962963,99.99933624267578,8.626490563668298,0.0002634869614381863,5.0462959334254265,0.20370371639728546,0.21040090918540955,0.5607175230979919,0.9999041088989803,36.532903439153436,-0.027361111111111117,36.532903439153436,-0.027361111111111117,38.5162037037037,76.82175925925927
mpi3d-mcbm-1,mpi3d,MCBM (low g),1.0,44,50,64.03472222222223,99.99967193603516,8.646131020406688,-0.0020215844521609405,5.337962694466114,0.03240741789340973,0.22179435193538666,0.5365731716156006,0.9999040961265564,43.54646164021164,-0.029001322751322757,43.54646164021164,-0.029001322751322757,35.96527777777777,76.56712962962963
mpi3d-mcbm-3,mpi3d,MCBM (medium g),3.0,42,50,23.97685185185185,99.99967193603516,-0.0015060823350121488,-0.0029991149080421664,-0.02314820885658264,0.22453702986240387,0.0025104843080043793,0.816562294960022,0.999904100384031,23.940145502645503,-5.2910052910054417e-05,23.940145502645503,-5.2910052910054417e-05,76.02314814814815,76.09722222222223
mpi3d-mcbm-3,mpi3d,MCBM (medium g),3.0,43,50,25.252314814814813,99.99967193603516,-0.0011797586111250702,9.242453012925367e-05,0.10416656732559204,0.1574074849486351,0.004125926177948713,0.813328742980957,0.9999036661216191,25.152116402116405,-0.00011408730158729594,25.152116402116405,-0.00011408730158729594,74.74768518518519,74.9074074074074
mpi3d-mcbm-3,mpi3d,MCBM (medium g),3.0,44,50,24.89814814814815,99.99933624267578,4.392708538025758e-05,-0.0023477726395104703,0.1504627987742424,0.018518418073654175,0.0038219676353037357,0.8150017857551575,0.999904100384031,24.800264550264547,-9.755291005291156e-05,24.800264550264547,-9.755291005291156e-05,75.10185185185185,75.23842592592592
mpi3d-mcbm-5,mpi3d,MCBM (high g),5.0,42,50,24.27777777777778,100.0,0.001566083139536989,-0.0036766158524659254,-0.11574085801839828,0.2268519252538681,0.007549486123025417,0.816718578338623,0.999904100384031,24.088624338624335,-0.0002132936507936429,24.088624338624335,-0.0002132936507936429,75.72222222222223,76.02083333333333
