config,dataset,model,seed,cka,disentanglement,ois,nis
mpi3d-cbm,mpi3d,CBM,42,0.8016018867492676,0.2514285922606781,11.734437813094353,0.0
mpi3d-cbm,mpi3d,CBM,43,0.7986507415771484,0.31020086674975267,12.746136939334246,7.93016446160826e-16
mpi3d-cbm,mpi3d,CBM,44,0.7962687015533447,0.27906889635068605,12.232498399326294,1.3394003168481255e-06
mpi3d-cem,mpi3d,CEM,42,0.7124155759811401,0.3701501784153478,11.35650140430302,7.93016446160826e-16
mpi3d-cem,mpi3d,CEM,43,0.7114566564559937,0.4300426273988595,10.714563399182033,0.0
mpi3d-cem,mpi3d,CEM,44,0.6549272537231445,0.42068054236134306,11.488762141340821,0.0
mpi3d-mcbm-1,mpi3d,MCBM (low g),42,0.9854265451431274,0.4848135461360364,1.8011364490442276,1.586032892321652e-15
mpi3d-mcbm-1,mpi3d,MCBM (low g),43,0.986807644367218,0.478933408100292,2.1830682293573593,7.93016446160826e-16
mpi3d-mcbm-1,mpi3d,MCBM (low g),44,0.9871095418930054,0.5120025299444023,1.7248265727411303,0.0
mpi3d-mcbm-1-bs4096,mpi3d,MCBM (g=1-bs4096),42,0.9745343327522278,0.8765394023231585,1.796103377206462,1.586032892321652e-15
mpi3d-mcbm-1-bs512,mpi3d,MCBM (g=1-bs512),42,0.9863818287849426,0.5437409539028637,3.0976602170027823,7.93016446160826e-16
mpi3d-mcbm-3,mpi3d,MCBM (medium g),42,0.9998307824134827,0.8754341072392863,2.990175734923684,7.93016446160826e-16
mpi3d-mcbm-3,mpi3d,MCBM (medium g),43,0.9997116327285767,0.87354410807047,4.355023318946301,7.93016446160826e-16
mpi3d-mcbm-3,mpi3d,MCBM (medium g),44,0.99984210729599,0.8753993765288308,3.637448240601674,0.0
mpi3d-mcbm-5,mpi3d,MCBM (high g),42,0.9998733997344971,0.9340330750747198,3.0141430965738545,7.93016446160826e-16
mpi3d-mcbm-5,mpi3d,MCBM (high g),43,0.999825119972229,0.8744964790739568,3.960245348993658,7.93016446160826e-16
mpi3d-mcbm-5,mpi3d,MCBM (high g),44,0.9998598694801331,0.8760136653393323,3.2141012512417237,7.93016446160826e-16
mpi3d-shcbm,mpi3d,SCBM,42,0.8510241508483887,0.45280668006159985,16.01955732379652,0.0
mpi3d-shcbm,mpi3d,SCBM,43,0.8267223834991455,0.4698005320910783,16.602753489564495,0.0
mpi3d-shcbm,mpi3d,SCBM,44,0.8485144376754761,0.4788898877278848,16.612987910407252,0.0
mpi3d-vanilla,mpi3d,Vanilla,42,0.00827441643923521,0.3801138779170975,nan,nan
mpi3d-vanilla,mpi3d,Vanilla,43,0.00863813329488039,0.3205465162763992,nan,nan
mpi3d-vanilla,mpi3d,Vanilla,44,0.011856368742883205,0.36485914268159303,nan,nan
shapes3d-arhcbm,shapes3d,ARCBM,42,0.6246767640113831,0.345729490546927,28.600829807757357,0.0
shapes3d-arhcbm,shapes3d,ARCBM,43,0.5785613656044006,0.3282786425349815,28.034537231761615,0.0
shapes3d-arhcbm,shapes3d,ARCBM,44,0.5677310228347778,0.33540474884157606,28.771005588937808,0.0
shapes3d-cbm,shapes3d,CBM,42,0.6203268766403198,0.2970045609823314,25.899652336800028,0.0
shapes3d-cbm,shapes3d,CBM,43,0.6157306432723999,0.23413429252391643,25.064620961320795,0.0
shapes3d-cbm,shapes3d,CBM,44,0.673828125,0.2330010890309252,25.031280419291548,0.0
shapes3d-cem,shapes3d,CEM,42,0.5617144107818604,0.3213103649340725,25.049700305385937,1.2335811384723961e-15
shapes3d-cem,shapes3d,CEM,43,0.5900996923446655,0.3438015247638377,24.962017029580956,0.0
shapes3d-cem,shapes3d,CEM,44,0.5455825328826904,0.32512217836275775,25.41748225437692,0.0
shapes3d-mcbm-1,shapes3d,MCBM (low g),42,0.980503499507904,0.7299818651579868,5.602318743657383,6.167905692361981e-16
shapes3d-mcbm-1,shapes3d,MCBM (low g),43,0.982495129108429,0.6081031050294388,6.800286017665878,2.777777777777778
shapes3d-mcbm-1,shapes3d,MCBM (low g),44,0.9835827946662903,0.6675875609215498,8.413136279592024,2.777777777777779
shapes3d-mcbm-3,shapes3d,MCBM (medium g),42,0.9998436570167542,0.9971257964327035,8.17004951799834,0.0
shapes3d-mcbm-3,shapes3d,MCBM (medium g),43,0.999800980091095,0.9963464444294632,9.511223685113917,2.777777777777778
shapes3d-mcbm-3,shapes3d,MCBM (medium g),44,0.9998407959938049,0.9955774836847934,11.25990932635071,2.777777777777778
shapes3d-mcbm-5,shapes3d,MCBM (high g),42,0.9999176859855652,0.9992526936295414,7.418695298043078,0.0
shapes3d-mcbm-5,shapes3d,MCBM (high g),43,0.9999086856842041,0.9995559472586458,8.78589863364973,2.777777777777778
shapes3d-mcbm-5,shapes3d,MCBM (high g),44,0.9997839331626892,0.9956306288216255,11.069283903824239,2.7777777777777777
shapes3d-shcbm,shapes3d,SCBM,42,0.6196156740188599,0.34974909819402356,27.66304020253889,0.0
shapes3d-shcbm,shapes3d,SCBM,43,0.60569828748703,0.3329132973150598,27.5528360109564,0.0
shapes3d-shcbm,shapes3d,SCBM,44,0.6352329254150391,0.3391398930850827,27.919509758025118,1.2335811384723961e-15
shapes3d-vanilla,shapes3d,Vanilla,42,0.004039487335830927,0.2685819715583008,nan,nan
shapes3d-vanilla,shapes3d,Vanilla,43,0.004210913088172674,0.258048364753098,nan,nan
shapes3d-vanilla,shapes3d,Vanilla,44,0.0036956886760890484,0.37089174486990995,nan,nan
